timestamp_ms,rel_timestamp_ms,accel_x,accel_y,accel_z,label
1790088968794,1978,0.6634,9.3476,1.6594,Standing Still
1790088968815,1999,0.6664,9.3320,1.4249,Standing Still
1790088968836,2020,0.6586,9.4738,1.4931,Standing Still
1790088968857,2041,0.6473,9.5653,1.6546,Standing Still
1790088968878,2062,0.6497,9.5312,1.7133,Standing Still
1790088968900,2084,0.6784,9.4247,1.6283,Standing Still
1790088968921,2105,0.6778,9.4259,1.5326,Standing Still
1790088968942,2126,0.6162,9.5270,1.6211,Standing Still
1790088968964,2148,0.6066,9.6897,1.7946,Standing Still
1790088968984,2168,0.6999,9.6682,1.7246,Standing Still
1790088969007,2191,0.8022,9.7370,1.5823,Standing Still
1790088969028,2212,0.8578,9.6927,1.6714,Standing Still
1790088969049,2233,0.8548,9.5216,1.6062,Standing Still
1790088969070,2254,0.8435,9.4965,1.3705,Standing Still
1790088969094,2278,0.8518,9.5569,1.3460,Standing Still
1790088969113,2297,0.8901,9.5904,1.6463,Standing Still
1790088969134,2318,0.8728,9.5761,1.6953,Standing Still
1790088969155,2339,0.8931,9.5713,1.5278,Standing Still
1790088969177,2361,0.8949,9.5007,1.5410,Standing Still
1790088969199,2383,0.8853,9.5731,1.6158,Standing Still
1790088969219,2403,0.9727,9.6993,1.5697,Standing Still
1790088969241,2425,1.0768,9.7065,1.4339,Standing Still
1790088969260,2444,1.0624,9.5510,1.4512,Standing Still
1790088969282,2466,1.0175,9.4851,1.4949,Standing Still
1790088969305,2489,1.0564,9.4738,1.3555,Standing Still
1790088969324,2508,1.0768,9.5486,1.3131,Standing Still
1790088969346,2530,1.0780,9.6592,1.3866,Standing Still
1790088969366,2550,1.1037,9.6515,1.4052,Standing Still
1790088969389,2573,1.1091,9.5414,1.2694,Standing Still
1790088969411,2595,1.0845,9.5175,1.2072,Standing Still
1790088969431,2615,1.0875,9.4451,1.2012,Standing Still
1790088969453,2637,1.0038,9.4211,1.2090,Standing Still
1790088969473,2657,0.9954,9.5169,1.3113,Standing Still
1790088969496,2680,1.0947,9.5157,1.3053,Standing Still
1790088969514,2698,1.1665,9.3512,1.1617,Standing Still
1790088969537,2721,1.1043,9.3003,1.0971,Standing Still
1790088969556,2740,1.0211,9.5061,1.2933,Standing Still
1790088969579,2763,1.0271,9.6802,1.3747,Standing Still
1790088969598,2782,1.1037,9.6939,1.2796,Standing Still
1790088969621,2805,1.1043,9.5845,1.2491,Standing Still
1790088969643,2827,1.0660,9.5169,1.3149,Standing Still
1790088969662,2846,1.0062,9.5318,1.3035,Standing Still
1790088969684,2868,0.9697,9.6012,1.3801,Standing Still
1790088969706,2890,1.0445,9.6431,1.4626,Standing Still
1790088969727,2911,1.0385,9.6305,1.4704,Standing Still
1790088969748,2932,1.0175,9.6203,1.4309,Standing Still
1790088969771,2955,1.0445,9.5952,1.4536,Standing Still
1790088969791,2975,0.9380,9.6556,1.5200,Standing Still
1790088969812,2996,0.8692,9.6419,1.4824,Standing Still
1790088969832,3016,0.9224,9.4816,1.5009,Standing Still
1790088969855,3039,0.8919,9.4929,1.5619,Standing Still
1790088969875,3059,0.8154,9.9416,1.7145,Standing Still
1790088969896,3080,0.8626,10.1133,1.9172,Standing Still
1790088969918,3102,1.1378,9.7597,1.5517,Standing Still
1790088969939,3123,1.1880,9.6078,1.0690,Standing Still
1790088969958,3142,1.1390,9.6156,1.0690,Standing Still
1790088969981,3165,1.1928,9.6221,1.1246,Standing Still
1790088970003,3187,1.0863,9.4881,1.2144,Standing Still
1790088970024,3208,1.0181,9.3577,1.4393,Standing Still
1790088970046,3230,1.0540,9.3093,1.3531,Standing Still
1790088970066,3250,1.0481,9.3751,1.1665,Standing Still
1790088970087,3271,1.0175,9.5007,1.4136,Standing Still
1790088970109,3293,1.0349,9.6299,1.6403,Standing Still
1790088970132,3316,1.1091,9.7280,1.5541,Standing Still
1790088970150,3334,1.2281,9.6969,1.2778,Standing Still
1790088970171,3355,1.1964,9.6299,1.2251,Standing Still
1790088970194,3378,1.0893,9.6108,1.3430,Standing Still
1790088970215,3399,1.0146,9.5444,1.4357,Standing Still
1790088970236,3420,1.0493,9.4582,1.3579,Standing Still
1790088970257,3441,1.1354,9.4181,1.2616,Standing Still
1790088970277,3461,1.1498,9.4008,1.2969,Standing Still
